node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05
5776.561650290236,7470.410107039485,7634.671157758992,8073.44177739135,7966.124203970101,8584.954305178926,6337.127028913786,5682.1908261867065,7872.37955575938,9172.971786038152,7490.744493974276,7104.224917156027,8142.445822880091,6893.382123073552,8182.208802240379
7968.537727804783,7450.924580356919,7913.086541692822,9152.211030988998,8416.942227391144,6328.309491881676,7438.382944098345,8291.652198777558,8158.208192740792,7823.344801748915,7566.777988557004,5502.569247325875,8284.018660946502,8521.472468272596,7109.188625063661
6880.858218550456,6712.497853002226,7349.638497265547,7791.992883017199,8427.57890551023,8616.943162658385,7643.455817592526,6261.283033908605,7714.529398690508,8694.326495071831,8267.12811533837,6803.8056432165795,7836.557694121392,7268.588887445033,5300.817987828531
6404.47169497685,5780.838277356246,7858.783113721813,7741.529703464472,8077.495258695467,7906.734967239005,6696.8295715367785,8017.781429723154,8161.667608370421,7948.626100279322,6202.516851281196,6753.839658013381,8307.210680043418,8398.562408181731,5553.286153373334
6882.186703201513,7701.149850214016,7109.010707499791,6544.173033545552,7519.981902937376,7674.761515188761,6772.465977576516,7906.886511955319,6794.2877971601465,5450.826286316062,7558.551403951203,4583.848700154343,7880.970546653204,7720.456761199165,5631.091845993845
6467.977905385883,7116.970346526258,6221.146905595892,8200.665757797784,6770.766329877797,6460.693283228234,5640.252479756632,6784.113887601628,5637.0256418668905,5824.087297550205,8011.885592570471,6834.558727346246,6018.194344437186,8077.334347794106,5111.2837288046585
6710.763127005208,6383.872342692223,7726.125667996553,8058.013139958992,5846.7819249565155,8138.255371805496,6874.021688890259,4972.992331134679,7348.447371326708,4728.146634956091,7403.843276867148,5615.8119599150095,5294.92535456941,7030.8385150420945,6182.337918838779
7003.127163711973,6253.517900370971,6725.564407043723,7846.475434391248,7883.35518578237,8004.424709543629,6858.29539425743,7558.514671145223,7160.2092713082675,5163.32255657842,6442.413114551631,4999.825815540578,8061.138945542395,7636.120956750433,6905.770758132626
6517.3180003771695,6930.537421418364,6363.105536646135,6134.966621419856,7207.23850383011,5766.31660437447,5947.21905423014,7453.689613219991,5457.401078204041,6010.294964903316,6067.752477586884,6108.968401413517,5802.283780039423,7576.090487811679,6619.8021445287095
6650.464469432896,6000.533900477392,6980.523473109269,7324.815745470856,6771.160133539652,6780.9472408475485,7262.229271976318,5084.09519845382,5487.665056163693,5495.885931355475,6721.777725393073,5460.799088870361,4341.378169697916,7322.245165136286,4746.811347619337
7224.461370008799,7606.643334773615,7370.087625739481,7910.223566363556,6118.093767631738,5534.606606749778,6361.106495681951,6261.084876462492,6524.283812748295,4437.812795633368,5456.033528211484,3465.9519217905076,7899.620226781973,7032.293733460436,5765.89695387793
6516.85843949802,7278.883110742263,7205.9856940736345,6487.430686263633,5169.473928426247,5442.317088001154,5333.834826248116,5475.475357527054,6116.1612052470155,4736.845701313261,6166.274158786601,4618.889412561481,6304.266395690845,6677.707922250332,4778.18431496622
5980.134820738526,5848.749030112611,6683.047375956048,5719.450530932066,6959.367371623902,6247.508307596806,5461.864168941117,5892.195994535492,4474.447866260578,4588.64284409336,6275.707670418314,4916.955857060985,4344.663920605164,6598.169937896704,5859.802909953251
4738.8045232836685,6105.070177007691,7054.615432746441,5133.262458054642,7280.088034265508,5624.722252495027,4920.9871839700745,5662.109857905887,5196.829743010363,6509.940991701791,6053.146412460301,4550.22299847614,5782.773447512276,6650.924005712925,4809.566599384888
7281.607437244954,6845.192984051352,7080.9555127361455,7961.18295527804,5388.8275592764785,6798.226181302956,6877.572562599306,5990.51822060412,5741.56325614735,5825.50986066418,6478.358559746868,5535.639747516461,6895.5980701183025,5497.762000002627,3846.3078110527454
6112.433261062377,7054.075653892423,7347.772876406375,6604.169985404154,7291.402577524504,5446.254159569746,4840.4113685533885,5893.721742270306,4840.968096463324,5205.841569881067,5354.13542223905,3886.27733947764,4645.783440229343,6773.883274393229,3739.953834897539
6698.318626808132,6452.014534691228,6514.332760090774,6076.130036135101,6430.551918035807,6037.493135601532,6440.651943612246,6641.683446850356,3776.445040424879,4828.426947355048,6595.936465602466,3465.4851840326414,6195.000581557989,6602.510779646253,3409.299981882291
6054.484454881399,6930.24547450318,6280.784131318902,5407.865869064896,6713.332281098414,6188.533714561686,4755.138933917584,4461.282810605234,4096.864806587123,6286.99246030885,5189.007587806232,3308.8911936156082,6301.94286373481,6442.294060490815,4088.834565051991
6465.976834889291,6592.500002011433,6865.969595109554,6913.97409423241,5508.737501973495,5987.432431055813,5143.093709234627,6044.21373372171,4203.006427241247,3470.9979646787683,4579.704634708447,4140.9364021974625,5083.261866870302,6100.052846402212,5332.568288935131
6246.350985721038,7315.682018946252,6685.074367202151,5863.302879676213,5668.311274724697,6018.231967488451,6022.284675487889,3228.3358709774097,4425.118970009547,2700.6525774545926,4797.216083545909,4309.364389595056,6435.5197775543,5519.49531157121,3662.3282105525245
6390.846601055755,5895.955414420162,5955.1054334475775,6328.891383970903,5398.305481987755,6463.2423071609055,5038.91834237457,5689.868901972367,4397.560976591775,2632.4966368360974,5425.003402008982,3294.388747123074,3307.2947029074076,5911.037039110156,3674.5152802969933
6270.876964299237,6749.019870732445,6883.099331744806,7578.135469422364,5988.437510703593,5895.309700429718,3852.169737207281,4931.067923648462,4502.09768898792,6036.441740960663,5010.139283748524,3901.024638442565,6349.997942216985,5357.372527974073,5103.296990921143
7250.282724921027,6275.750068454587,7100.763476290716,5845.994076076708,5619.411729780803,5947.746997497224,3916.417046245016,5055.821394632155,4225.761388387412,2797.7585587529084,4117.930485616511,2128.2445917915043,2422.5909177066173,5115.735249819733,4911.782150981293
6546.93814456911,6854.524020787732,6230.935560622255,5727.561039010746,4600.614468311643,5450.209200191721,6077.586561100319,4669.030507408524,4252.144763357733,5566.944634215017,4574.743033716115,2678.530206384734,5995.091466094614,3886.3190715601545,3179.3686251858303
6403.415252076071,5820.011005053649,6041.441819809057,6546.176674940062,5681.603873695049,5707.695978446743,3810.4393977019254,3961.0391691810296,3557.99604380466,3080.3836453001068,2920.3517477077644,3757.509314072127,5511.6130385206,5587.568076255885,4276.546617927239
6862.063442698679,6624.803703500153,5461.049203885693,5577.103824643878,6038.1242971398,5522.366741115897,3637.4565662091723,5154.4725235276,2769.357200301823,2869.751641677525,3299.337586947985,2940.866773836091,5105.49485395101,5414.332514368475,3418.291694179094
6104.343371783847,6128.0079628306175,5616.905462944576,5349.865502896183,4372.869982228137,5011.296794883072,5548.193171330225,3732.066773697797,3459.618711912305,5382.45478454931,4754.460761952491,2502.9891878091157,5655.373091752783,5051.071214330636,5144.119634559289
4689.85984931642,7241.061774979355,6479.883508736854,6034.532735983734,4675.760556890577,5101.215262190117,3285.857892639958,3353.7975615243467,2990.4114554220887,3828.262803835311,3719.031969896807,3561.951386006955,5285.195796607802,3995.860600814611,3328.4734662127053
5078.9358111321135,6345.9798753696305,5456.137799878347,6117.9927368180115,5266.744781275102,4946.144757777216,4102.860910772636,4749.123621908714,2964.4398128594944,3970.556205321154,3425.7982133175756,2382.3470953640362,5311.996925065608,4273.742063751172,2218.495012569101
6492.050981417902,5762.956742002237,6163.9823252853375,4955.783940633339,5173.187898922778,5270.563588204309,3519.27203294362,4586.562612052676,2387.526250480198,2646.845490599161,3198.8953902011094,2942.361053387527,4417.77558857635,4282.557319454104,3040.1321504379935
6166.906828396037,6343.531801012176,5738.508971663442,4582.315731998884,5092.620015223847,5453.543390455024,3617.101063765124,4295.701220714285,2434.6752147616926,3994.474144457008,3365.1026886384107,2695.779634403168,4557.972594227931,4430.891388636273,3308.345842336207
5274.084345297563,6893.9048300050945,5862.9710625570715,6935.701857278309,5153.88833098417,4544.180212615201,4450.443886601242,3420.69550968278,2265.150065153745,2553.1328235637416,3156.627123568045,1721.4231166186862,4498.404859873746,4539.3363156488895,3217.6724476074505
7298.770587170048,5843.403205924297,5693.4086143841805,4584.89199475143,4600.230674358209,4730.045385118191,4638.691163998161,4349.425824567276,3430.576016423504,4349.375687373691,3411.8650731868856,1747.94735189672,4820.185957293889,3469.8478673431073,2623.7912079457647
5774.4425496842505,6237.40713657247,5615.483230261873,6245.690254840377,4968.820428671614,4260.937803362786,4722.809490428791,3715.2354009828573,2329.2906875157178,2312.727490809301,2370.12687873582,2903.185348039225,4234.046393609898,4386.762694326561,3887.139674812618
6578.916811971095,5171.404154177094,5557.579164931589,4852.5190416915175,4586.35346608285,4920.696573025825,3445.1757646077435,3292.4120372998714,3135.386848737225,4822.398884371903,3681.627891399535,2476.0770290983533,4404.98556412561,4324.5102879218275,2700.202176972223
5381.147566202912,5774.174959806581,5109.404283691795,5064.501211730377,3996.3777698900653,4335.465013924691,4088.577477057063,2710.5084182086234,2673.6890037491494,2296.446766618517,2367.689470241724,1898.9647084419648,4167.519733149744,4137.946662306673,2947.351664118677
6140.578149066225,6391.583030507854,5280.366026206084,4963.797385934849,3703.395012586226,3755.8218264779666,4002.8205722064135,3035.454056877989,1606.1274918789736,1915.005661205603,3643.610205519459,2271.9203673745633,3885.515323269141,3651.533161540631,2504.8561988225006
