node0 p05,node1 p05,node2 p05,node3 p05,node4 p05,node5 p05,node6 p05,node7 p05,node8 p05,node9 p05,node10 p05,node11 p05,node12 p05,node13 p05,node14 p05,node15 p05,node16 p05,node17 p05,node18 p05,node19 p05,node20 p05,node21 p05,node22 p05,node23 p05,node24 p05
6961.0146803501175,7867.446401020549,7160.1249877217715,7937.463160821769,8670.046536767453,7209.119700906503,6852.922932602087,8338.413881631537,6999.600283822636,8113.330173938456,7296.226026973232,7899.128731034953,5535.253964163354,7491.7340913592525,7926.500578507948,8540.479604372184,9151.824510115988,8813.860253596446,8650.649417428687,7524.275575587233,8811.935573663544,7868.020545772853,7036.6213733410805,7998.558305647165,8143.871789511112
5891.685992998542,6707.074869022663,5462.554860543681,7001.993422404811,7458.669773426905,5934.283027981061,8652.102648211534,6654.011248459036,7970.070962910921,7320.656118777092,7177.115775821362,7340.305108551979,8806.834082372487,8260.439740135702,8210.922537983153,7185.360475395277,8415.85148971898,7148.285703278744,7899.541953212618,5570.128457485888,8505.357454363391,8331.310079027126,7736.370030410238,6719.982109557788,6933.50025999656
6859.951854367919,6825.1323278589925,4651.617378622525,5897.635067138423,6652.429032403314,8655.454028167276,6028.912153090486,8247.01596941093,5875.712624288381,7746.357429468499,8003.5558911461185,6163.880820340694,7634.589200744099,7826.268846612627,7087.322906213044,6214.859337053268,8304.83794332597,6178.515687124087,6722.309987315681,6756.685162071641,8224.19384606115,7972.817861187999,8878.5181872443,6867.74740033122,5515.559372610271
6232.9141911810575,5421.581736594655,7448.431056837911,7150.073581034874,7554.7265082381955,6895.623961849845,8064.00072907719,7393.965800431265,7023.913765360404,8399.028307934448,7380.875336162953,6469.4353702812095,7885.730723387912,8314.532676389244,7050.279448420057,6567.956342706777,7914.712418613758,7405.117244769296,7927.624744124212,6495.64591692504,7498.700089423745,8152.757496406619,7892.145849409242,7240.732364881402,6304.230551385783
6550.504762543518,6729.504773640415,6889.79099427698,6792.230886547357,7256.325670016935,6587.4829036849615,7082.697741532448,6992.740572464202,5446.470973142743,6482.885389785505,7802.651605217997,5825.424699474888,8033.55971946455,6292.026176785523,5976.114678784101,8541.18355227297,7138.729791416102,8188.433138778118,6549.843315346733,6382.421611723896,5684.7515974861335,8122.029272006459,7028.256115677852,7106.490848145941,7034.732561890548
6635.9636295829305,5611.022305300661,6498.631883154826,5699.759558597686,6486.039075347052,7059.216310902897,7943.510407727163,5888.025538418347,7499.141511084285,8390.958892841005,7156.781099467269,6060.4207146073495,7722.359396839443,7425.126232428175,6267.920772250169,6250.022786116441,6586.168163224497,7683.295963408355,6870.4244357322705,5112.806422234849,4843.849953771332,6910.12122298539,5844.044499519994,7309.148688195503,5138.384965696154
6807.134581419449,6299.309122088451,5442.004948632364,6469.896051424105,6486.561140925436,7427.510470590197,6997.4120308461215,7810.216518928395,7942.422556647927,5848.71360582778,7632.069910562705,6113.022903806067,7341.934124296028,7174.840844089161,5917.834758000434,4838.117616981544,7016.086553401016,7182.813161306153,6752.571020966448,7308.690584044626,4880.281067290393,7504.345608159578,7772.2239249074755,6015.039455792908,6431.6058133723445
6984.121767767806,5232.231942064784,6602.707009006453,6582.587479447404,6630.1241707118015,7745.681399392028,5900.486371007031,6973.038675784926,6470.547734119025,6965.586745722301,7799.144582142693,6895.708499820332,6484.183292883497,5805.986799568888,6338.820733861372,5605.78601711684,7217.523918390654,5567.385937704484,6652.664342019525,5570.561346865383,5632.063391318344,7598.394034462722,7593.348334319642,6586.071929493381,5103.5953859447945
5442.5274657963955,7663.17506907393,6879.64818070639,6517.645893919666,6790.610187473522,6448.290248311932,8215.176956997073,5577.355812486065,7087.180240666119,6354.510363282677,5119.12963173734,5340.508992469939,6442.2510571934,6444.604066184835,5643.256949884092,4348.135030445263,6536.9585748146155,5890.926233738472,5498.596614277641,5156.558468601946,5157.29691150496,7539.521969893757,7994.481123883817,6032.635473225102,4725.6046639564365
4756.2123375065285,5831.660446215539,7031.278591987015,7219.610683072214,6373.014011561407,7203.990566902282,5769.288421916126,5639.662654638752,7321.179363184133,7824.708754767117,6840.935417244796,5435.515307921489,5016.894178492992,6127.032645637166,5755.545205839784,4532.262493748317,5682.681498414114,7173.704271061912,6000.088275231229,4580.4381858557035,6245.405604435394,6726.197266560894,6571.381899796577,6895.988878582644,5902.868515528614
