node0 p01,node1 p01,node2 p01,node3 p01,node4 p01
7990.403149320658,7275.1532149789355,7523.102810464091,9260.783125525524,9494.829194640386
7789.1539288378435,7009.270227642591,6941.019592429606,7874.540396845501,7569.598268669931
7289.924037383191,7225.914260279573,6765.280509758108,6534.090909862434,7950.815504989466
6990.194560878294,5690.565975409251,8777.64586747961,8158.222312219609,9403.351164925205
6001.739244956702,9178.78841992889,7649.286348624438,6807.159800879148,7441.134264745874
5694.499114724346,6151.323748142369,7335.012064641959,5707.186957789568,7137.876823747008
6260.005710331766,5978.673487616749,4670.031046421939,6077.1020005864,6332.061058809962
6347.763840795726,7331.612910564202,7935.58445334569,6601.530271439368,6213.082353430047
5057.481410493151,6289.623525557106,7451.470610579905,5872.916070031884,7097.433568370699
5262.993747312008,6068.300499048914,5599.149431157641,6602.951611417879,6435.957786134685
6414.765538492047,7988.465289379731,7374.294336994617,4187.318588628626,7140.071178174973
5666.555405647921,5337.736930760718,6078.342274828245,6354.558276626728,4316.567552277474
5225.72075456205,4830.905856672616,4768.096959891678,5381.110667083025,5972.89981061332
6179.66056330058,7008.972234773938,5801.104798075942,3784.139365180938,4322.055494969767
6061.48986206332,5484.1795932468,5297.863833586899,5287.719186480307,6462.452559590291
5959.659781106679,5570.959472675732,5445.497873316291,5155.960583072728,5267.200504041846
4410.929560727771,6565.8641097300915,4515.49885073152,4199.970688602548,4869.803844067598
4451.7416043607445,7117.413530151395,6117.479148987153,6054.897697483901,5902.859499694539
6511.48186067892,7918.735280872393,6127.443270621877,4902.861077954455,4796.324342495346
5100.874906629873,5417.572813285573,5294.433416510828,6164.864749852252,5078.743021852473
4865.307231557316,5356.268342904032,5947.698521834081,4023.9165811780445,5839.07065620513
5025.284670654095,3931.3855012290614,4230.950727616767,6094.305347114051,5391.4907345852625
5398.64524381542,4454.414505357331,6047.967364501364,4393.021491873593,4536.435871015103
5360.47030557699,4960.500566491621,4284.755965101975,2863.023404186205,6645.522244055091
4946.025108975786,5660.625845856512,4430.488377884547,2074.802336267131,5255.987320935284
5691.061465626996,5625.84203777161,4776.523316695742,3076.941570733464,4362.473210288292
5487.889006394422,5459.658777025699,5217.086144612505,4538.143537060805,3466.2115485661225
4166.784082772179,5634.316585895858,4654.088438017721,2334.563026109635,3577.4487271506005
5284.862541634995,5032.935559460321,3943.1447829157337,2981.807378187103,3493.202509570383
4146.676743319917,4717.900645232008,3735.8077968496627,2332.331208809027,5298.936596549482
4704.167942700433,4415.993216619933,3756.783357902838,3591.6331708894654,4933.449244866343
4726.605835192587,3669.7532407818408,4112.838372072267,4241.878966945284,2146.435647859473
5000.106864701734,4323.433951494496,3096.2929160942986,2888.3106468650017,2499.8356708934634
4696.770323825492,5049.410605430897,4076.3613292624063,3305.5068858087843,2137.944691825055
4375.055818986378,4053.5195460885784,3056.688497148256,3813.9331118472337,2155.7265391323845
3888.643253278621,3102.201534096219,3355.536442487453,2939.1561309790472,5288.117980812168
2640.0812485551774,4453.831154083589,4051.899341540632,2936.015440110941,3801.8082359118803
5271.559965244247,3337.64370245739,3326.6692550811586,2678.172945159198,3921.3896713161284
4641.729244187694,4554.421174598595,1931.763434085856,1311.342544562093,3266.46162264652
4410.920457434365,3511.881458976359,2409.6271809663326,2736.0831069120945,1609.4910137779896
3942.9894181954132,3491.3019251238507,2981.112279209183,4278.989982632633,3523.5122922434
4154.499623675817,4138.429514364068,2698.194924463658,2673.1273053502605,4042.822069501518
3142.1117808417926,2966.5375017315614,2722.153555542479,1352.077429841826,3738.398661947831
3269.968574021735,3034.3496554077296,2377.556068354722,1538.425752727161,3421.7929888033555
3699.347547798331,4085.4865825450684,3937.5943262201,1763.010409563274,1651.4123635007636
4134.8327802728,3370.101673266612,2456.622807803312,1833.7849587570947,4069.9857108836827
3346.7316435008797,3929.412255311593,3279.6624542916757,1477.1133914007091,2112.9575935342205
3339.74009008942,3770.2213727713834,2992.277592798846,3370.4319219566714,2746.087754612453
3360.7467665629074,3404.139766269577,2309.032747043252,2677.525040521356,3947.7537220548725
4260.66733073174,3565.334554861898,2209.4110921729016,2686.9699321203334,3715.674111740248
3493.55750894061,3793.323752338589,3640.2108701246775,2186.661641253161,3134.2077429129795
3537.160656398762,2925.4249096217695,2029.211482717341,1516.1077790150398,1595.6617903714023
3076.842558349695,2656.926057196423,3141.641309912272,1555.859150694718,2501.857327216
2851.6832287504385,4112.295528052422,2085.011858632131,2157.8206852152866,3470.246321651829
3090.349836491427,2100.326608022827,1666.868048452863,2035.8578134263735,1739.5291159928327
3367.087460824985,1445.1775320064098,1865.6224954992385,1703.8616648493057,2138.0232984341646
3268.753891875197,1792.7415297484993,2381.712578799096,869.1543868907307,2511.281844707476
2658.5095838062266,2259.022803428844,2023.4570251982796,1150.9578271137132,2928.721275539271
2901.9184567775933,4034.635385587685,1220.6741933701,1959.3883645387157,2496.274861869189
3088.17978396756,2814.5860897905823,2773.479671525144,1661.8613751575076,2572.391199788109
2802.626151633796,2009.225812386199,2820.640937921988,2128.5604992348012,2496.5614335049477
3724.2058832329585,2463.1492443418915,1794.012648902717,1918.4445819889597,1786.332956542502
2530.5930371935547,1871.491154626667,1921.9065935731614,2235.297319090613,2923.8676220897996
3727.172065150189,2315.032823613854,2553.525326675565,709.0811712190957,1260.6030322456559
3477.0731656618605,1922.7875491663387,2557.5449652248512,1248.5792803323575,2622.564937007118
2008.080462242961,1783.261192685665,2342.8675359727085,964.9088641356087,1751.6144167741547
3299.0344705290627,2310.450462636605,2648.511167742863,2092.0488325677884,757.1612560256233
3668.0045406795934,3566.971888348997,2102.776586956445,1489.7868073898453,753.8743789867291
3309.1483399117883,2976.913443108587,976.1813526765399,772.1464066138803,1642.8439179849872
2175.975159659251,2829.89677558056,1433.9125372267097,985.3913995577168,1668.8507999289798
3322.9189472449625,1247.1900819499524,1773.6110165676953,942.5235007597432,445.0208507556004
2076.402873986502,2439.397831321451,1158.754551040383,647.9993566202439,596.4721992873217
3211.066098065579,2395.108138029757,1394.6539796039935,849.5443548741999,2550.716583695155
2579.5353909881173,2884.6245524223255,1626.7391794935165,1208.7727098791306,695.9972701847053
3100.937719258471,2143.4552080928393,1717.2993682729077,661.1683508333322,920.2813276633628
2155.3412071174084,1704.2435273445092,972.3468662681194,444.7666603520144,744.2698081164484
2534.791296768497,2234.7383840133566,879.6902765938462,1076.1592507550642,1295.9079579700053
2768.481276579311,2274.192658121293,1352.9298996404,676.418403653655,1096.1423063387988
2493.965137742886,1648.8005152931555,2425.8954974820126,676.441784060153,310.95671230892754
2644.270860013382,1830.443401086019,1958.37755930944,648.9423425267144,1306.7446102552092
1849.9738986427717,1938.1488645516283,1201.565993180867,1407.1461578241667,1990.4688273086733
2097.5113995399724,1531.9441441489519,1417.3568126535265,504.96207791243944,1981.933662806643
2219.309400317505,2045.5779926967443,1047.1874766674136,883.0948146352512,1405.0096044288337
2429.7451651896095,2134.581261600913,710.6602370230847,887.6739028915088,535.5120822963835
2491.8553041364644,1574.8117254355964,1339.4192337823733,442.297396771487,859.0255406104081
2654.8268315750006,2060.546022904265,1724.0629555779801,714.4563315773382,1263.245388948561
2134.95953233465,2793.4131635957583,770.3804658942357,1901.8013642706628,1753.6073647154203
2860.8445669634484,1216.5815569384752,1134.5300048689999,778.1972338035799,595.4519742984118
2327.6148815039587,2623.817597687224,775.1653384638661,1452.0365575385467,933.9207979147118
2089.315341057236,1831.9188051528947,785.9561582912062,725.0829501895238,1184.7294836837211
2269.114120666364,2321.888780416284,1823.5529303864232,710.7868314332097,1329.6503630493637
2162.573991535082,1993.1462658389123,1104.0477718872614,598.0346871139034,1517.7587286039131
2088.1736715935403,1376.5800561135572,900.6517518818063,978.9552209803761,1818.3646472803684
1909.6783696571051,1526.28778438849,1345.8629636324688,435.8301464912204,1324.340401628856
1442.5982176224766,1393.6559249440213,1487.9008736314474,624.8495750303821,1640.0721631974586
1671.55873076875,1999.27235349383,1175.48058568292,861.0870244229941,308.2065380846989
2334.8163691921695,1781.0112954464255,1176.2068369073859,546.0252419328953,1052.7028891291773
2045.89115623597,1433.3342111828174,632.889076589912,243.36421755490144,1342.6694908060776
2240.8715274748693,1165.393854734183,577.2144122974443,1187.0487950398815,273.99826751510426
2215.9336767403056,1450.2923456746034,1024.180554046537,1035.741075316114,227.78552156013103
1712.8443050668047,1328.5075650321912,1275.171321229359,688.0355597533272,1318.8329044317336
2277.7006996444775,1874.5493416944396,1360.7357614675902,550.682065805597,1378.5997987986607
1778.924187847731,1414.3890616749209,226.25707060725696,556.9583485589429,1169.6963170744339
2246.2687266214916,1758.7304126103281,966.7321587323602,839.1968117932344,1403.3119335832696
1442.6791829027363,1544.9199030586103,888.3770157591989,867.3904937263501,1040.1450724545828
1347.8051700907963,1070.2249777690001,628.7833896353551,864.6453081991195,523.8968088926484
1871.0430906648983,1547.46749050739,1062.9992761059123,650.7650884007643,1216.4432575076216
